S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date of Award (2017-2022),Supplier, Awarded Amount 
3381,ITT20180714,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,21/7/2018,CleanSweep Property Management," $261,209.00 "
3382,ITT20180715,ITT,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,21/7/2018,FreshWave Property Support," $265,862.00 "
3383,ITT20180716,ITT,Department of Energy Conservation and Sustainability,Fire safety system installation and maintenance.,21/7/2018,StarStone Facility Services," $435,458.00 "
3384,ITT20180717,ITT,Ministry of Strategic Economic Planning,Renovation and remodeling project management.,22/7/2018,AlphaCrest Property Support," $449,144.00 "
3385,ITT20180718,ITT,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,23/7/2018,TrustEdge Building Maintenance," $252,982.00 "
3386,ITT20180719,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,23/7/2018,BlueReach Property Solutions," $411,799.00 "
3387,ITT20180720,ITT,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,24/7/2018,TrustEdge Building Maintenance," $201,854.00 "
3388,ITT20180721,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,24/7/2018,EliteEdge Facilities Group," $282,686.00 "
3389,ITT20180722,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,24/7/2018,SecureSpace Management," $348,950.00 "
3390,ITT20180723,ITT,National Institute of Scientific Advancement,Fire safety system installation and maintenance.,24/7/2018,EverReach Property Care," $583,192.00 "
3391,ITT20180724,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,25/7/2018,SilverStone Management," $284,319.00 "
3392,ITT20180725,ITT,Office of International Relations and Diplomatic Affairs,Expert landscaping and groundskeeping solutions.,25/7/2018,GrandReach Facility Care," $425,849.00 "
3393,ITT20180726,ITT,National Institute of Scientific Advancement,Energy-efficient systems and consumption monitoring.,26/7/2018,GrandPro Facilities Support," $114,340.00 "
3394,ITT20180727,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,26/7/2018,BlueSky Property Care," $123,629.00 "
3395,ITT20180728,ITT,Institute for Social Justice and Equality,Building automation and smart technology integration.,26/7/2018,SkyHigh Property Management," $220,261.00 "
3396,ITT20180729,ITT,National Commission for Space Exploration,24/7 security and access control management.,26/7/2018,SwiftReach Building Maintenance," $353,909.00 "
3397,ITT20180730,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,26/7/2018,TrustMax Facilities Masters," $436,623.00 "
3398,ITT20180731,ITT,National Institute of Scientific Advancement,Fire safety system installation and maintenance.,26/7/2018,GoldenHarbor Management," $440,514.00 "
3399,ITT20180732,ITT,Department of Public Health and Disease Control,Waste management and recycling program implementation.,26/7/2018,EliteCare Facility Support," $528,061.00 "
3400,ITT20180733,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,27/7/2018,SkyHarbor Facility Experts," $403,945.00 "
3401,ITT20180734,ITT,Agency for Cultural Preservation and Heritage,Tenant communication and customer service assistance.,27/7/2018,AlphaWave Property Solutions," $459,890.00 "
3402,ITT20180735,ITT,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,27/7/2018,ApexGuard Facility Services," $479,005.00 "
3403,ITT20180736,ITT,Department of Advanced Technological Research,Building maintenance and repairs.,28/7/2018,TruePro Building Experts," $178,388.00 "
3404,ITT20180737,ITT,National Institute of Scientific Advancement,Building maintenance and repairs.,28/7/2018,TrustEdge Building Maintenance," $231,714.00 "
3405,ITT20180738,ITT,Office of Public Safety and Emergency Management,Renovation and remodeling project management.,28/7/2018,HorizonHarbor Property Services," $261,997.00 "
3406,ITT20180739,ITT,National Commission for Space Exploration,HVAC system maintenance and climate control optimization.,29/7/2018,FreshStart Building Solutions," $241,329.00 "
3407,ITT20180740,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,29/7/2018,GrandReach Facility Care," $409,484.00 "
3408,ITT20180741,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,30/7/2018,SafeTech Maintenance," $300,333.00 "
3409,ITT20180742,ITT,Office of Public Safety and Emergency Management,24/7 security and access control management.,30/7/2018,TruePro Building Experts," $345,718.00 "
3410,ITT20180743,ITT,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,30/7/2018,SkyHigh Property Management," $371,876.00 "
3411,ITT20180744,ITT,Ministry of Strategic Economic Planning,Building automation and smart technology integration.,30/7/2018,SwiftGuard Management," $413,778.00 "
3412,ITT20180745,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,31/7/2018,TrueView Management," $201,480.00 "
3413,ITT20180746,ITT,Ministry of Strategic Economic Planning,Waste management and recycling program implementation.,31/7/2018,SafeEdge Property Care," $320,507.00 "
3414,ITT20180747,ITT,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,31/7/2018,BlueSky Property Care," $380,558.00 "
3415,ITT20180748,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,1/8/2018,GoldenHarbor Management," $119,372.00 "
3416,ITT20180749,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,1/8/2018,SilverReach Facility Services," $214,910.00 "
3417,ITT20180750,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,1/8/2018,TrustEdge Building Maintenance," $300,396.00 "
3418,ITT20180751,ITT,National Institute of Scientific Advancement,Renovation and remodeling project management.,1/8/2018,EverGreen Property Support," $306,081.00 "
3419,ITT20180752,ITT,Agency for Cultural Preservation and Heritage,Renovation and remodeling project management.,1/8/2018,FreshTech Management," $382,433.00 "
3420,ITT20180753,ITT,Office of International Relations and Diplomatic Affairs,Space planning and utilization optimization strategies.,1/8/2018,Reliable Facility Services," $471,895.00 "
3421,ITT20180754,ITT,National Cybersecurity Task Force,Furniture and equipment maintenance and inventory tracking.,2/8/2018,TrustMax Facilities Masters," $148,330.00 "
3422,ITT20180755,ITT,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,3/8/2018,GoldenStar Property Care," $114,383.00 "
3423,ITT20180756,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,3/8/2018,HorizonStone Facility Services," $160,064.00 "
3424,ITT20180757,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,3/8/2018,GoldenTech Maintenance," $229,453.00 "
3425,ITT20180758,ITT,National Cybersecurity Task Force,Fire safety system installation and maintenance.,3/8/2018,GreenEdge Facility Masters," $568,551.00 "
3426,ITT20180759,ITT,National Commission for Space Exploration,Emergency response and disaster recovery planning.,4/8/2018,GreenLine Building Experts," $151,663.00 "
3427,ITT20180760,ITT,Ministry of Strategic Economic Planning,Building maintenance and repairs.,4/8/2018,StarStone Facility Services," $214,863.00 "
3428,ITT20180761,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,4/8/2018,SwiftReach Building Maintenance," $263,671.00 "
3429,ITT20180762,ITT,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,4/8/2018,TrueWave Facilities Management," $331,462.00 "
3430,ITT20180763,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,5/8/2018,EverPro Property Support," $393,591.00 "
3431,ITT20180764,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,6/8/2018,InfiniteSpace Building Solutions," $151,829.00 "
3432,ITT20180765,ITT,National Cybersecurity Task Force,Fire safety system installation and maintenance.,6/8/2018,GreenWave Facilities Management," $390,942.00 "
3433,ITT20180766,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,6/8/2018,InfiniteSpace Building Solutions," $396,843.00 "
3434,ITT20180767,ITT,Federal Agency for Environmental Protection,Furniture and equipment maintenance and inventory tracking.,7/8/2018,VisionQuest Facility Care," $115,786.00 "
3435,ITT20180768,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,7/8/2018,Xtreme Maintenance," $432,898.00 "
3436,ITT20180769,ITT,National Commission for Space Exploration,Cleaning supplies and consumables procurement and management.,8/8/2018,InfiniteSpace Building Solutions," $150,258.00 "
3437,ITT20180770,ITT,Bureau of Urban Development and Infrastructure,Health and safety compliance management and training.,8/8/2018,GreenWave Facilities Management," $235,126.00 "
3438,ITT20180771,ITT,Federal Agency for Environmental Protection,Cleaning supplies and consumables procurement and management.,9/8/2018,InfiniteSpace Building Solutions," $191,623.00 "
3439,ITT20180772,ITT,Department of Energy Conservation and Sustainability,Space planning and utilization optimization strategies.,9/8/2018,AlphaCrest Property Support," $247,202.00 "
3440,ITT20180773,ITT,Department of Advanced Technological Research,Comprehensive janitorial services and cleanliness maintenance.,9/8/2018,ApexGuard Facility Services," $356,913.00 "
3441,ITT20180774,ITT,Office of International Relations and Diplomatic Affairs,Furniture and equipment maintenance and inventory tracking.,9/8/2018,SilverReach Facility Services," $441,242.00 "
3442,ITT20180775,ITT,Department of Advanced Technological Research,Fire safety system installation and maintenance.,9/8/2018,AlphaCrest Property Support," $502,606.00 "
3443,ITT20180776,ITT,National Cybersecurity Task Force,Renovation and remodeling project management.,11/8/2018,GoldenTech Maintenance," $150,552.00 "
3444,ITT20180777,ITT,National Commission for Space Exploration,Health and safety compliance management and training.,11/8/2018,SecureSpace Management," $187,001.00 "
3445,ITT20180778,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,12/8/2018,UrbanEdge Maintenance," $208,108.00 "
3446,ITT20180779,ITT,Office of International Relations and Diplomatic Affairs,Waste management and recycling program implementation.,12/8/2018,GrandTech Building Solutions," $394,876.00 "
3447,ITT20180780,ITT,Department of Energy Conservation and Sustainability,Cleaning supplies and consumables procurement and management.,13/8/2018,InfiniteSpace Building Solutions," $102,183.00 "
3448,ITT20180781,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,13/8/2018,BlueCrest Facility Support," $240,985.00 "
3449,ITT20180782,ITT,Department of Energy Conservation and Sustainability,Health and safety compliance management and training.,13/8/2018,UrbanTech Management," $515,027.00 "
3450,ITT20180783,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,14/8/2018,EverPro Property Support," $132,368.00 "
3451,ITT20180784,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,14/8/2018,UrbanReach Facility Support," $313,273.00 "
3452,ITT20180785,ITT,Agency for Cultural Preservation and Heritage,Expert landscaping and groundskeeping solutions.,14/8/2018,ApexGuard Facility Services," $369,608.00 "
3453,ITT20180786,ITT,National Institute of Scientific Advancement,Waste management and recycling program implementation.,14/8/2018,TrueNorth Facility Solutions," $412,207.00 "
3454,ITT20180787,ITT,Department of Advanced Technological Research,24/7 security and access control management.,14/8/2018,GreenEdge Facility Masters," $441,379.00 "
3455,ITT20180788,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,15/8/2018,TrustMax Facilities Masters," $191,740.00 "
3456,ITT20180789,ITT,National Institute of Scientific Advancement,Fire safety system installation and maintenance.,15/8/2018,GrandView Facilities Group," $324,694.00 "
3457,ITT20180790,ITT,Bureau of National Security and Intelligence,Fire safety system installation and maintenance.,15/8/2018,SilverTech Facilities Masters," $395,516.00 "
3458,ITT20180791,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,16/8/2018,AlphaPro Facility Solutions," $432,281.00 "
3459,ITT20180792,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,17/8/2018,GreenWave Facilities Management," $198,997.00 "
3460,ITT20180793,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,17/8/2018,HighPoint Property Care," $255,433.00 "
3461,ITT20180794,ITT,Department of Advanced Technological Research,Building automation and smart technology integration.,17/8/2018,HorizonPro Facility Management," $343,665.00 "
3462,ITT20180795,ITT,Office of International Relations and Diplomatic Affairs,Waste management and recycling program implementation.,18/8/2018,HorizonPro Facility Management," $127,816.00 "
3463,ITT20180796,ITT,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,18/8/2018,ApexGuard Facility Services," $215,308.00 "
3464,ITT20180797,ITT,Department of Energy Conservation and Sustainability,Expert landscaping and groundskeeping solutions.,18/8/2018,SwiftSail Building Solutions," $322,281.00 "
3465,ITT20180798,ITT,Bureau of Urban Development and Infrastructure,Tenant communication and customer service assistance.,18/8/2018,GreenCrest Facilities Group," $326,900.00 "
3466,ITT20180799,ITT,Department of Energy Conservation and Sustainability,Indoor air quality monitoring and improvement measures.,18/8/2018,EverPro Property Support," $385,628.00 "
3467,ITT20180800,ITT,Bureau of National Security and Intelligence,Renovation and remodeling project management.,19/8/2018,SafeHarbor Facilities Group," $157,562.00 "
3468,ITT20180801,ITT,Federal Agency for Environmental Protection,Building maintenance and repairs.,19/8/2018,InfiniteGuard Building Care," $158,307.00 "
3469,ITT20180802,ITT,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,19/8/2018,HighWave Building Solutions," $362,630.00 "
3470,ITT20180803,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,19/8/2018,StarCrest Facility Services," $602,472.00 "
3471,ITT20180804,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,20/8/2018,SafeHarbor Facilities Group," $151,478.00 "
3472,ITT20180805,ITT,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,20/8/2018,EliteTech Property Support," $252,187.00 "
3473,ITT20180806,ITT,National Cybersecurity Task Force,Indoor air quality monitoring and improvement measures.,20/8/2018,UrbanEagle Maintenance," $261,622.00 "
3474,ITT20180807,ITT,Commission for Ethical Governance,Indoor air quality monitoring and improvement measures.,20/8/2018,GoldenGate Facility Masters," $327,569.00 "
3475,ITT20180808,ITT,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,20/8/2018,SafeHarbor Facilities Group," $416,414.00 "
3476,ITT20180809,ITT,National Institute of Scientific Advancement,Emergency response and disaster recovery planning.,21/8/2018,SilverTech Facilities Masters," $514,882.00 "
3477,ITT20180810,ITT,Office of Public Safety and Emergency Management,Building automation and smart technology integration.,23/8/2018,FreshTech Management," $406,218.00 "
3478,ITT20180811,ITT,Department of Advanced Technological Research,Health and safety compliance management and training.,23/8/2018,Xtreme Maintenance," $463,846.00 "
3479,ITT20180812,ITT,Bureau of National Security and Intelligence,Building maintenance and repairs.,24/8/2018,UrbanEagle Maintenance," $135,291.00 "
3480,ITT20180813,ITT,Department of Energy Conservation and Sustainability,Waste management and recycling program implementation.,24/8/2018,UrbanTech Management," $362,110.00 "
3481,ITT20180814,ITT,National Commission for Space Exploration,Health and safety compliance management and training.,25/8/2018,SafeTech Maintenance," $145,395.00 "
3482,ITT20180815,ITT,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,25/8/2018,BlueCrest Facility Support," $313,456.00 "
3483,ITT20180816,ITT,Institute for Social Justice and Equality,Building automation and smart technology integration.,25/8/2018,CleanSweep Property Management," $319,467.00 "
3484,ITT20180817,ITT,Institute for Social Justice and Equality,Waste management and recycling program implementation.,25/8/2018,Reliable Facility Services," $374,772.00 "
3485,ITT20180818,ITT,National Institute of Scientific Advancement,Tenant communication and customer service assistance.,26/8/2018,SwiftGuard Management," $391,082.00 "
3486,ITT20180819,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,27/8/2018,EliteReach Building Solutions," $191,576.00 "
3487,ITT20180820,ITT,National Commission for Space Exploration,Tenant communication and customer service assistance.,27/8/2018,GrandReach Facility Care," $229,128.00 "
3488,ITT20180821,ITT,National Cybersecurity Task Force,HVAC system maintenance and climate control optimization.,27/8/2018,SilverTech Facilities Masters," $235,881.00 "
3489,ITT20180822,ITT,Department of Public Health and Disease Control,Renovation and remodeling project management.,27/8/2018,TrueNorth Facility Solutions," $261,001.00 "
3490,ITT20180823,ITT,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,27/8/2018,HorizonHarbor Property Services," $308,896.00 "
3491,ITT20180824,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,27/8/2018,StarStone Facility Services," $380,769.00 "
3492,ITT20180825,ITT,National Institute of Scientific Advancement,Indoor air quality monitoring and improvement measures.,27/8/2018,InfiniteGuard Building Care," $1,284,388.00 "
3493,ITT20180826,ITT,Office of International Relations and Diplomatic Affairs,Comprehensive janitorial services and cleanliness maintenance.,28/8/2018,SkyHigh Property Management," $120,623.00 "
3494,ITT20180827,ITT,National Institute of Scientific Advancement,Renovation and remodeling project management.,28/8/2018,HorizonHarbor Property Services," $207,476.00 "
3495,ITT20180828,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,28/8/2018,SkyHarbor Facility Experts," $386,289.00 "
3496,ITT20180829,ITT,National Commission for Space Exploration,Cleaning supplies and consumables procurement and management.,28/8/2018,InfiniteSpace Building Solutions," $527,333.00 "
3497,ITT20180830,ITT,Office of Public Safety and Emergency Management,Waste management and recycling program implementation.,29/8/2018,TrustGuard Facilities," $175,337.00 "
3498,ITT20180831,ITT,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,29/8/2018,AlphaPro Facility Solutions," $289,567.00 "
3499,ITT20180832,ITT,Commission for Ethical Governance,Parking management and traffic control solutions.,29/8/2018,GreenWave Facilities Management," $359,770.00 "
3500,ITT20180833,ITT,National Institute of Scientific Advancement,24/7 security and access control management.,30/8/2018,GrandView Facilities Group," $178,633.00 "
3501,ITT20180834,ITT,Institute for Social Justice and Equality,Building automation and smart technology integration.,30/8/2018,EliteCare Facility Support," $191,059.00 "
3502,ITT20180835,ITT,Commission for Ethical Governance,24/7 security and access control management.,30/8/2018,GoldenHarbor Management," $323,653.00 "
3503,ITT20180836,ITT,Commission for Ethical Governance,Parking management and traffic control solutions.,30/8/2018,TrueView Management," $424,349.00 "
3504,ITT20180837,ITT,Bureau of National Security and Intelligence,Pest control services for a pest-free environment.,31/8/2018,EliteEdge Facilities Group," $315,695.00 "
3505,ITT20180838,ITT,Federal Agency for Environmental Protection,Fire safety system installation and maintenance.,31/8/2018,GreenLine Building Experts," $354,377.00 "
3506,ITT20180839,ITT,Office of International Relations and Diplomatic Affairs,Emergency response and disaster recovery planning.,31/8/2018,ApexGuard Facility Services," $413,452.00 "
3507,ITT20180840,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,31/8/2018,GrandPro Facilities Support," $539,270.00 "
3508,ITT20180841,ITT,Commission for Ethical Governance,Waste management and recycling program implementation.,1/9/2018,UrbanTech Management," $448,948.00 "
3509,ITT20180842,ITT,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,2/9/2018,SafeHarbor Facilities Group," $206,747.00 "
3510,ITT20180843,ITT,Department of Energy Conservation and Sustainability,Emergency response and disaster recovery planning.,2/9/2018,GreenEdge Facility Masters," $364,527.00 "
3511,ITT20180844,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,2/9/2018,GrandTech Building Solutions," $522,819.00 "
3512,ITT20180845,ITT,Commission for Ethical Governance,Tenant communication and customer service assistance.,3/9/2018,HighPoint Property Care," $126,530.00 "
3513,ITT20180846,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,3/9/2018,EliteTech Property Support," $141,054.00 "
3514,ITT20180847,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,3/9/2018,BlueSail Property Experts," $269,657.00 "
3515,ITT20180848,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,3/9/2018,SecureReach Property Care," $311,877.00 "
3516,ITT20180849,ITT,Bureau of National Security and Intelligence,Waste management and recycling program implementation.,3/9/2018,StarStone Facility Services," $355,278.00 "
3517,ITT20180850,ITT,Bureau of Urban Development and Infrastructure,Fire safety system installation and maintenance.,3/9/2018,SafeHarbor Facilities Group," $403,086.00 "
3518,ITT20180851,ITT,National Cybersecurity Task Force,Waste management and recycling program implementation.,4/9/2018,GrandTech Building Solutions," $140,780.00 "
3519,ITT20180852,ITT,Office of Public Safety and Emergency Management,Energy-efficient lighting installation and maintenance.,4/9/2018,SwiftCrest Property Management," $244,322.00 "
3520,ITT20180853,ITT,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,4/9/2018,SilverLine Facility Experts," $246,485.00 "
3521,ITT20180854,ITT,National Commission for Space Exploration,Parking management and traffic control solutions.,4/9/2018,GoldenHarbor Management," $265,598.00 "
3522,ITT20180855,ITT,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,4/9/2018,VisionQuest Facility Care," $291,761.00 "
3523,ITT20180856,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,4/9/2018,SafeReach Property Solutions," $390,028.00 "
3524,ITT20180857,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,4/9/2018,GoldenGate Facility Masters," $401,660.00 "
3525,ITT20180858,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,4/9/2018,GrandTech Building Solutions," $436,050.00 "
3526,ITT20180859,ITT,Institute for Social Justice and Equality,Furniture and equipment maintenance and inventory tracking.,5/9/2018,SafeTech Maintenance," $235,521.00 "
3527,ITT20180860,ITT,Institute for Social Justice and Equality,24/7 security and access control management.,5/9/2018,SkyHigh Property Management," $278,221.00 "
3528,ITT20180861,ITT,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,5/9/2018,TrustEdge Building Maintenance," $464,156.00 "
3529,ITT20180862,ITT,Federal Agency for Environmental Protection,24/7 security and access control management.,5/9/2018,GoldenStar Property Care," $466,887.00 "
3530,ITT20180863,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,5/9/2018,Xtreme Maintenance," $478,707.00 "
3531,ITT20180864,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,6/9/2018,FreshEdge Facility Support," $342,046.00 "
3532,ITT20180865,ITT,Department of Energy Conservation and Sustainability,Expert landscaping and groundskeeping solutions.,7/9/2018,Reliable Facility Services," $203,609.00 "
3533,ITT20180866,ITT,Department of Advanced Technological Research,Expert landscaping and groundskeeping solutions.,7/9/2018,ApexGuard Facility Services," $239,548.00 "
3534,ITT20180867,ITT,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,7/9/2018,BlueCrest Facility Support," $251,928.00 "
3535,ITT20180868,ITT,Department of Energy Conservation and Sustainability,Indoor air quality monitoring and improvement measures.,7/9/2018,UnitedPro Property Services," $426,264.00 "
3536,ITT20180869,ITT,Office of Public Safety and Emergency Management,Cleaning supplies and consumables procurement and management.,8/9/2018,InfiniteSpace Building Solutions," $113,812.00 "
3537,ITT20180870,ITT,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,8/9/2018,InfiniteSpace Building Solutions," $130,425.00 "
3538,ITT20180871,ITT,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,8/9/2018,EliteReach Building Solutions," $373,047.00 "
3539,ITT20180872,ITT,Federal Agency for Environmental Protection,24/7 security and access control management.,8/9/2018,SafeReach Property Solutions," $507,505.00 "
3540,ITT20180873,ITT,National Commission for Space Exploration,Tenant communication and customer service assistance.,9/9/2018,UrbanTech Management," $167,100.00 "
3541,ITT20180874,ITT,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,9/9/2018,FreshStart Building Solutions," $238,255.00 "
3542,ITT20180875,ITT,Department of Advanced Technological Research,Emergency response and disaster recovery planning.,9/9/2018,GreenLine Building Experts," $320,538.00 "
3543,ITT20180876,ITT,National Institute of Scientific Advancement,Space planning and utilization optimization strategies.,10/9/2018,GreenWave Facilities Management," $153,720.00 "
3544,ITT20180877,ITT,National Commission for Space Exploration,Health and safety compliance management and training.,10/9/2018,InfiniteCare Property Services," $181,183.00 "
3545,ITT20180878,ITT,National Cybersecurity Task Force,Building maintenance and repairs.,10/9/2018,SkyStone Property Solutions," $271,114.00 "
3546,ITT20180879,ITT,National Commission for Space Exploration,Waste management and recycling program implementation.,10/9/2018,FreshStart Building Solutions," $361,759.00 "
3547,ITT20180880,ITT,Department of Advanced Technological Research,Fire safety system installation and maintenance.,10/9/2018,TrustPro Building Maintenance," $399,704.00 "
3548,ITT20180881,ITT,Ministry of Strategic Economic Planning,Energy-efficient systems and consumption monitoring.,10/9/2018,HighPoint Property Care," $468,387.00 "
3549,ITT20180882,ITT,Institute for Social Justice and Equality,Fire safety system installation and maintenance.,10/9/2018,UrbanGuard Facilities," $492,900.00 "
3550,ITT20180883,ITT,Bureau of National Security and Intelligence,Pest control services for a pest-free environment.,11/9/2018,SafeEdge Property Care," $177,768.00 "
3551,ITT20180884,ITT,Commission for Ethical Governance,Waste management and recycling program implementation.,11/9/2018,BlueSky Property Care," $278,898.00 "
3552,ITT20180885,ITT,National Commission for Space Exploration,Space planning and utilization optimization strategies.,11/9/2018,SilverStone Management," $289,914.00 "
3553,ITT20180886,ITT,Ministry of Strategic Economic Planning,Tenant communication and customer service assistance.,11/9/2018,AlphaWave Property Solutions," $492,234.00 "
3554,ITT20180887,ITT,Ministry of Strategic Economic Planning,Health and safety compliance management and training.,12/9/2018,SecureReach Property Care," $299,294.00 "
3555,ITT20180888,ITT,Commission for Ethical Governance,Fire safety system installation and maintenance.,12/9/2018,HighTech Facilities Group," $495,266.00 "
3556,ITT20180889,ITT,Agency for Cultural Preservation and Heritage,Waste management and recycling program implementation.,13/9/2018,SwiftReach Building Maintenance," $320,005.00 "
3557,ITT20180890,ITT,Office of Public Safety and Emergency Management,Energy-efficient lighting installation and maintenance.,13/9/2018,TrustEdge Building Maintenance," $326,331.00 "
3558,ITT20180891,ITT,National Institute of Scientific Advancement,Fire safety system installation and maintenance.,13/9/2018,CleanStone Property Experts," $333,988.00 "
3559,ITT20180892,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,14/9/2018,StarTech Facility Solutions," $328,544.00 "
3560,ITT20180893,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,14/9/2018,GreenLine Building Experts," $370,424.00 "
3561,ITT20180894,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,15/9/2018,StarHarbor Facilities Group," $281,700.00 "
3562,ITT20180895,ITT,National Institute of Scientific Advancement,Energy-efficient systems and consumption monitoring.,15/9/2018,SecureTech Building Solutions," $369,533.00 "
3563,ITT20180896,ITT,Bureau of National Security and Intelligence,Health and safety compliance management and training.,16/9/2018,InfiniteCare Property Services," $365,234.00 "
3564,ITT20180897,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,16/9/2018,HorizonStone Facility Services," $412,235.00 "
3565,ITT20180898,ITT,National Commission for Space Exploration,Emergency response and disaster recovery planning.,16/9/2018,Reliable Facility Services," $456,711.00 "
3566,ITT20180899,ITT,Department of Advanced Technological Research,Emergency response and disaster recovery planning.,16/9/2018,TrueView Management," $502,176.00 "
3567,ITT20180900,ITT,Bureau of Urban Development and Infrastructure,Building maintenance and repairs.,18/9/2018,GreenLine Building Experts," $117,011.00 "
3568,ITT20180901,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,18/9/2018,SilverStone Management," $201,061.00 "
3569,ITT20180902,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,18/9/2018,EverPrime Property Management," $450,371.00 "
3570,ITT20180903,ITT,Agency for Cultural Preservation and Heritage,Furniture and equipment maintenance and inventory tracking.,19/9/2018,GreenLine Building Experts," $198,071.00 "
3571,ITT20180904,ITT,Commission for Ethical Governance,Tenant communication and customer service assistance.,19/9/2018,GreenCrest Facilities Group," $276,453.00 "
3572,ITT20180905,ITT,Department of Advanced Technological Research,Indoor air quality monitoring and improvement measures.,19/9/2018,BlueSky Property Care," $280,005.00 "
