S/N,Procurement Code,Procurement Type,Agency,Procurement Description,Date,Supplier,Awarded Amount
4200,ITT20190316,ITT,National Commission for Space Exploration,Furniture and equipment maintenance and inventory tracking.,2019-04-12,EliteEdge Facilities Group,311338
4201,ITT20190317,ITT,Ministry of Strategic Economic Planning,Emergency response and disaster recovery planning.,2019-04-13,CleanStone Property Experts,264645
4202,ITT20190318,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2019-04-14,TrustMax Facilities Masters,105150
4203,ITT20190319,ITT,Bureau of National Security and Intelligence,HVAC system maintenance and climate control optimization.,2019-04-14,FreshTech Management,585882
4204,ITT20190320,ITT,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,2019-04-15,SafeHarbor Facilities Group,179611
4205,ITT20190321,ITT,Commission for Ethical Governance,HVAC system maintenance and climate control optimization.,2019-04-15,GoldenHarbor Management,390312
4206,ITT20190322,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2019-04-15,MaxPro Building Services,504099
4207,ITT20190323,ITT,Department of Advanced Technological Research,Furniture and equipment maintenance and inventory tracking.,2019-04-17,InfiniteGuard Building Care,125138
4208,ITT20190324,ITT,Commission for Ethical Governance,Energy-efficient lighting installation and maintenance.,2019-04-17,SafeHaven Maintenance,210406
4209,ITT20190325,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2019-04-17,TrueNorth Facility Solutions,268626
4210,ITT20190326,ITT,National Commission for Space Exploration,Tenant communication and customer service assistance.,2019-04-17,Reliable Facility Services,365022
4211,ITT20190327,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2019-04-17,InfiniteGuard Building Care,375734
4212,ITT20190328,ITT,Commission for Ethical Governance,Emergency response and disaster recovery planning.,2019-04-20,GoldenStar Property Care,122855
4213,ITT20190329,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,2019-04-20,SwiftReach Building Maintenance,308359
4214,ITT20190330,ITT,National Institute of Scientific Advancement,Pest control services for a pest-free environment.,2019-04-20,GreenWave Facilities Management,350757
4215,ITT20190331,ITT,Ministry of Strategic Economic Planning,Indoor air quality monitoring and improvement measures.,2019-04-20,SafeHarbor Facilities Group,443390
4216,ITT20190332,ITT,Agency for Cultural Preservation and Heritage,Building automation and smart technology integration.,2019-04-21,TrustMax Facilities Masters,117418
4217,ITT20190333,ITT,National Institute of Scientific Advancement,Building automation and smart technology integration.,2019-04-21,HorizonPro Facility Management,317323
4218,ITT20190334,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,2019-04-21,FreshEdge Facility Support,374427
4219,ITT20190335,ITT,National Cybersecurity Task Force,Space planning and utilization optimization strategies.,2019-04-22,StarCrest Facility Services,188829
4220,ITT20190336,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,2019-04-22,GoldenGate Facility Masters,230935
4221,ITT20190337,ITT,Commission for Ethical Governance,Building maintenance and repairs.,2019-04-22,GreenWave Facilities Management,441579
4222,ITT20190338,ITT,National Cybersecurity Task Force,24/7 security and access control management.,2019-04-23,HighWave Building Solutions,194395
4223,ITT20190339,ITT,Department of Public Health and Disease Control,Space planning and utilization optimization strategies.,2019-04-23,HorizonStone Facility Services,217235
4224,ITT20190340,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2019-04-23,SwiftReach Building Maintenance,234684
4225,ITT20190341,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2019-04-23,HorizonStone Facility Services,272818
4226,ITT20190342,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,2019-04-23,GoldenHarbor Management,289985
4227,ITT20190343,ITT,Agency for Cultural Preservation and Heritage,Space planning and utilization optimization strategies.,2019-04-23,BlueSail Property Experts,293347
4228,ITT20190344,ITT,Office of International Relations and Diplomatic Affairs,Health and safety compliance management and training.,2019-04-23,HighTech Facilities Group,327148
4229,ITT20190345,ITT,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,2019-04-23,SilverStone Management,435607
4230,ITT20190346,ITT,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,2019-04-24,SecureSpace Management,345118
4231,ITT20190347,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2019-04-24,GreenLine Building Experts,435881
4232,ITT20190348,ITT,National Commission for Space Exploration,Space planning and utilization optimization strategies.,2019-04-24,SecureSpace Management,436456
4233,ITT20190349,ITT,National Cybersecurity Task Force,Energy-efficient systems and consumption monitoring.,2019-04-24,TrueView Management,518730
4234,ITT20190350,ITT,Ministry of Strategic Economic Planning,Pest control services for a pest-free environment.,2019-04-25,SwiftSail Building Solutions,176673
4235,ITT20190351,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,2019-04-25,GoldenReach Property Management,229678
4236,ITT20190352,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,2019-04-25,BlueSky Property Care,300687
4237,ITT20190353,ITT,National Institute of Scientific Advancement,Renovation and remodeling project management.,2019-04-25,GrandEdge Property Solutions,323536
4238,ITT20190354,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,2019-04-25,UrbanEdge Maintenance,399852
4239,ITT20190355,ITT,Bureau of National Security and Intelligence,Parking management and traffic control solutions.,2019-04-26,FreshStart Building Solutions,331736
4240,ITT20190356,ITT,Commission for Ethical Governance,Energy-efficient systems and consumption monitoring.,2019-04-26,GrandTech Building Solutions,392115
4241,ITT20190357,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2019-04-27,GrandReach Facility Care,129032
4242,ITT20190358,ITT,National Cybersecurity Task Force,Energy-efficient systems and consumption monitoring.,2019-04-27,UrbanTech Management,235238
4243,ITT20190359,ITT,National Institute of Scientific Advancement,Expert landscaping and groundskeeping solutions.,2019-04-27,GrandReach Facility Care,329611
4244,ITT20190360,ITT,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,2019-04-27,TrustEdge Building Maintenance,372576
4245,ITT20190361,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,2019-04-28,SafeEdge Property Care,290633
4246,ITT20190362,ITT,Institute for Social Justice and Equality,Health and safety compliance management and training.,2019-04-29,SwiftSail Building Solutions,157700
4247,ITT20190363,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2019-04-30,SkyHigh Property Management,386045
4248,ITT20190364,ITT,National Institute of Scientific Advancement,Furniture and equipment maintenance and inventory tracking.,2019-04-30,EliteEdge Facilities Group,391023
4249,ITT20190365,ITT,Office of Public Safety and Emergency Management,Furniture and equipment maintenance and inventory tracking.,2019-05-01,FreshEdge Facility Support,127663
4250,ITT20190366,ITT,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,2019-05-01,InfiniteGuard Building Care,187810
4251,ITT20190367,ITT,Department of Energy Conservation and Sustainability,Renovation and remodeling project management.,2019-05-01,HorizonHarbor Property Services,192237
4252,ITT20190368,ITT,Department of Advanced Technological Research,Health and safety compliance management and training.,2019-05-02,UrbanEagle Maintenance,104061
4253,ITT20190369,ITT,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,2019-05-04,FreshStart Building Solutions,388490
4254,ITT20190370,ITT,Federal Agency for Environmental Protection,Tenant communication and customer service assistance.,2019-05-04,UrbanReach Facility Support,454141
4255,ITT20190371,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,2019-05-05,SkyHarbor Facility Experts,189732
4256,ITT20190372,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2019-05-05,AlphaTech Facilities Management,243400
4257,ITT20190373,ITT,Department of Advanced Technological Research,Pest control services for a pest-free environment.,2019-05-05,ApexGuard Facility Services,326995
4258,ITT20190374,ITT,Bureau of Urban Development and Infrastructure,Emergency response and disaster recovery planning.,2019-05-05,CleanHarbor Facility Care,502946
4259,ITT20190375,ITT,National Institute of Scientific Advancement,Fire safety system installation and maintenance.,2019-05-06,GoldenReach Property Management,207714
4260,ITT20190376,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2019-05-06,SkyStone Property Solutions,291607
4261,ITT20190377,ITT,Federal Agency for Environmental Protection,Building automation and smart technology integration.,2019-05-06,MaxPro Building Services,309224
4262,ITT20190378,ITT,Bureau of Urban Development and Infrastructure,Health and safety compliance management and training.,2019-05-06,HorizonView Property Management,330841
4263,ITT20190379,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2019-05-06,SkyHarbor Facility Experts,334331
4264,ITT20190380,ITT,Ministry of Strategic Economic Planning,Expert landscaping and groundskeeping solutions.,2019-05-06,StarStone Facility Services,365230
4265,ITT20190381,ITT,Office of Public Safety and Emergency Management,Indoor air quality monitoring and improvement measures.,2019-05-06,InfiniteGuard Building Care,382571
4266,ITT20190382,ITT,National Institute of Scientific Advancement,Energy-efficient lighting installation and maintenance.,2019-05-06,BlueSail Property Experts,383847
4267,ITT20190383,ITT,Department of Advanced Technological Research,Parking management and traffic control solutions.,2019-05-06,GreenWave Facilities Management,417229
4268,ITT20190384,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2019-05-07,AlphaPro Facility Solutions,114503
4269,ITT20190385,ITT,Department of Advanced Technological Research,Renovation and remodeling project management.,2019-05-07,CleanReach Facility Experts,135428
4270,ITT20190386,ITT,Federal Agency for Environmental Protection,Pest control services for a pest-free environment.,2019-05-07,HorizonStone Facility Services,174590
4271,ITT20190387,ITT,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,2019-05-07,CleanReach Facility Experts,182790
4272,ITT20190388,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2019-05-07,GoldenGate Facility Masters,314968
4273,ITT20190389,ITT,Department of Advanced Technological Research,Cleaning supplies and consumables procurement and management.,2019-05-08,InfiniteSpace Building Solutions,278661
4274,ITT20190390,ITT,National Cybersecurity Task Force,Renovation and remodeling project management.,2019-05-10,TrustEdge Building Maintenance,124992
4275,ITT20190391,ITT,Institute for Social Justice and Equality,24/7 security and access control management.,2019-05-10,SecurePrime Management,299399
4276,ITT20190392,ITT,Federal Agency for Environmental Protection,Pest control services for a pest-free environment.,2019-05-10,EliteEdge Facilities Group,444180
4277,ITT20190393,ITT,Bureau of National Security and Intelligence,24/7 security and access control management.,2019-05-10,AlphaPro Facility Solutions,514331
4278,ITT20190394,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2019-05-11,SwiftCrest Property Management,209285
4279,ITT20190395,ITT,Office of Public Safety and Emergency Management,Emergency response and disaster recovery planning.,2019-05-11,StarTech Facility Solutions,305264
4280,ITT20190396,ITT,National Commission for Space Exploration,HVAC system maintenance and climate control optimization.,2019-05-11,InfiniteGuard Building Care,375692
4281,ITT20190397,ITT,National Commission for Space Exploration,24/7 security and access control management.,2019-05-12,SkyHigh Property Management,232431
4282,ITT20190398,ITT,National Commission for Space Exploration,Building maintenance and repairs.,2019-05-12,AlphaWave Property Solutions,264115
4283,ITT20190399,ITT,Bureau of National Security and Intelligence,Emergency response and disaster recovery planning.,2019-05-12,GrandReach Facility Care,357588
4284,ITT20190400,ITT,Department of Advanced Technological Research,Energy-efficient lighting installation and maintenance.,2019-05-12,ApexGuard Facility Services,415832
4285,ITT20190401,ITT,Office of International Relations and Diplomatic Affairs,Renovation and remodeling project management.,2019-05-13,TrueView Management,143681
4286,ITT20190402,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2019-05-13,GoldenTech Maintenance,144400
4287,ITT20190403,ITT,Office of International Relations and Diplomatic Affairs,Indoor air quality monitoring and improvement measures.,2019-05-13,SwiftCrest Property Management,381494
4288,ITT20190404,ITT,Agency for Cultural Preservation and Heritage,Cleaning supplies and consumables procurement and management.,2019-05-14,InfiniteSpace Building Solutions,173288
4289,ITT20190405,ITT,Federal Agency for Environmental Protection,Comprehensive janitorial services and cleanliness maintenance.,2019-05-14,Xtreme Maintenance,242531
4290,ITT20190406,ITT,Bureau of National Security and Intelligence,Comprehensive janitorial services and cleanliness maintenance.,2019-05-15,SwiftReach Building Maintenance,271827
4291,ITT20190407,ITT,Bureau of National Security and Intelligence,Furniture and equipment maintenance and inventory tracking.,2019-05-15,SwiftGuard Management,488849
4292,ITT20190408,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2019-05-16,GrandTech Building Solutions,139208
4293,ITT20190409,ITT,Bureau of National Security and Intelligence,Comprehensive janitorial services and cleanliness maintenance.,2019-05-16,TrustEdge Building Maintenance,448384
4294,ITT20190410,ITT,Bureau of National Security and Intelligence,Energy-efficient lighting installation and maintenance.,2019-05-17,SkyQuest Facility Care,237554
4295,ITT20190411,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2019-05-17,CleanStone Property Experts,449540
4296,ITT20190412,ITT,Institute for Social Justice and Equality,HVAC system maintenance and climate control optimization.,2019-05-18,GoldenHarbor Management,147312
4297,ITT20190413,ITT,National Institute of Scientific Advancement,Building automation and smart technology integration.,2019-05-18,EverPrime Property Management,288476
4298,ITT20190414,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2019-05-18,Reliable Facility Services,347681
4299,ITT20190415,ITT,Agency for Cultural Preservation and Heritage,Comprehensive janitorial services and cleanliness maintenance.,2019-05-18,GrandPro Facilities Support,395170
4300,ITT20190416,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2019-05-19,InfiniteGuard Building Care,233905
4301,ITT20190417,ITT,Agency for Cultural Preservation and Heritage,Cleaning supplies and consumables procurement and management.,2019-05-19,ApexGuard Facility Services,387990
4302,ITT20190418,ITT,National Cybersecurity Task Force,Energy-efficient lighting installation and maintenance.,2019-05-20,UrbanEagle Maintenance,237967
4303,ITT20190419,ITT,National Cybersecurity Task Force,HVAC system maintenance and climate control optimization.,2019-05-20,CleanHarbor Facility Care,359184
4304,ITT20190420,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2019-05-20,SafeTech Maintenance,515894
4305,ITT20190421,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2019-05-21,EliteTech Property Support,108796
4306,ITT20190422,ITT,Bureau of National Security and Intelligence,Pest control services for a pest-free environment.,2019-05-21,GrandEdge Property Solutions,141969
4307,ITT20190423,ITT,Agency for Cultural Preservation and Heritage,Indoor air quality monitoring and improvement measures.,2019-05-21,GoldenStar Property Care,182065
4308,ITT20190424,ITT,Department of Energy Conservation and Sustainability,Building automation and smart technology integration.,2019-05-21,CleanStone Property Experts,188781
4309,ITT20190425,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,2019-05-21,AlphaTech Facilities Management,242016
4310,ITT20190426,ITT,Department of Advanced Technological Research,Cleaning supplies and consumables procurement and management.,2019-05-21,InfiniteSpace Building Solutions,358812
4311,ITT20190427,ITT,Ministry of Strategic Economic Planning,Expert landscaping and groundskeeping solutions.,2019-05-21,Reliable Facility Services,390084
4312,ITT20190428,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2019-05-21,SecureSpace Management,492199
4313,ITT20190429,ITT,National Cybersecurity Task Force,Building automation and smart technology integration.,2019-05-22,GreenWave Facilities Management,167520
4314,ITT20190430,ITT,National Commission for Space Exploration,Fire safety system installation and maintenance.,2019-05-22,SecureSpace Management,331066
4315,ITT20190431,ITT,National Institute of Scientific Advancement,Parking management and traffic control solutions.,2019-05-22,HorizonView Property Management,374267
4316,ITT20190432,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,2019-05-22,Xtreme Maintenance,467551
4317,ITT20190433,ITT,Agency for Cultural Preservation and Heritage,Energy-efficient lighting installation and maintenance.,2019-05-23,ApexGuard Facility Services,110964
4318,ITT20190434,ITT,Ministry of Strategic Economic Planning,Comprehensive janitorial services and cleanliness maintenance.,2019-05-23,EliteEdge Facilities Group,150245
4319,ITT20190435,ITT,Agency for Cultural Preservation and Heritage,Building maintenance and repairs.,2019-05-23,SkyHigh Property Management,213745
4320,ITT20190436,ITT,Office of International Relations and Diplomatic Affairs,Waste management and recycling program implementation.,2019-05-23,EverReach Property Care,356999
4321,ITT20190437,ITT,National Cybersecurity Task Force,Comprehensive janitorial services and cleanliness maintenance.,2019-05-24,GrandView Facilities Group,268530
4322,ITT20190438,ITT,Department of Energy Conservation and Sustainability,Tenant communication and customer service assistance.,2019-05-24,SilverLine Facility Experts,327957
4323,ITT20190439,ITT,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,2019-05-24,EliteEdge Facilities Group,373571
4324,ITT20190440,ITT,National Institute of Scientific Advancement,24/7 security and access control management.,2019-05-24,TrustGuard Facilities,450899
4325,ITT20190441,ITT,National Cybersecurity Task Force,HVAC system maintenance and climate control optimization.,2019-05-25,InfiniteGuard Building Care,310070
4326,ITT20190442,ITT,Commission for Ethical Governance,Comprehensive janitorial services and cleanliness maintenance.,2019-05-25,SwiftCrest Property Management,352250
4327,ITT20190443,ITT,Office of Public Safety and Emergency Management,Parking management and traffic control solutions.,2019-05-25,BlueBreeze Facility Solutions,383535
4328,ITT20190444,ITT,Office of Public Safety and Emergency Management,Health and safety compliance management and training.,2019-05-25,EliteReach Building Solutions,393516
4329,ITT20190445,ITT,National Institute of Scientific Advancement,Building automation and smart technology integration.,2019-05-25,EverGreen Property Support,493581
4330,ITT20190446,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,2019-05-26,AlphaCrest Property Support,253408
4331,ITT20190447,ITT,Office of Public Safety and Emergency Management,Comprehensive janitorial services and cleanliness maintenance.,2019-05-27,SilverTech Facilities Masters,239341
4332,ITT20190448,ITT,Department of Energy Conservation and Sustainability,Emergency response and disaster recovery planning.,2019-05-27,ApexGuard Facility Services,348779
4333,ITT20190449,ITT,Institute for Social Justice and Equality,Tenant communication and customer service assistance.,2019-05-27,GoldenStar Property Care,438451
4334,ITT20190450,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2019-05-28,CleanHarbor Facility Care,182399
4335,ITT20190451,ITT,Department of Energy Conservation and Sustainability,HVAC system maintenance and climate control optimization.,2019-05-28,BlueReach Property Solutions,208651
4336,ITT20190452,ITT,Department of Advanced Technological Research,Health and safety compliance management and training.,2019-05-28,UnitedPro Property Services,283881
4337,ITT20190453,ITT,National Institute of Scientific Advancement,Space planning and utilization optimization strategies.,2019-05-28,Xtreme Maintenance,406370
4338,ITT20190454,ITT,National Cybersecurity Task Force,Emergency response and disaster recovery planning.,2019-05-29,InfiniteGuard Building Care,114617
4339,ITT20190455,ITT,Federal Agency for Environmental Protection,Health and safety compliance management and training.,2019-05-29,GrandReach Facility Care,233728
4340,ITT20190456,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2019-05-29,SilverTech Facilities Masters,265830
4341,ITT20190457,ITT,National Commission for Space Exploration,Expert landscaping and groundskeeping solutions.,2019-05-29,GoldenHarbor Management,442932
4342,ITT20190458,ITT,Institute for Social Justice and Equality,Comprehensive janitorial services and cleanliness maintenance.,2019-05-29,ApexGuard Facility Services,536906
4343,ITT20190459,ITT,National Institute of Scientific Advancement,24/7 security and access control management.,2019-05-30,GreenEdge Facility Masters,214419
4344,ITT20190460,ITT,Institute for Social Justice and Equality,Parking management and traffic control solutions.,2019-05-30,GoldenHarbor Management,237732
4345,ITT20190461,ITT,Bureau of National Security and Intelligence,HVAC system maintenance and climate control optimization.,2019-05-30,SkyHigh Property Management,353967
4346,ITT20190462,ITT,Federal Agency for Environmental Protection,Furniture and equipment maintenance and inventory tracking.,2019-05-30,GoldenStar Property Care,432241
4347,ITT20190463,ITT,National Cybersecurity Task Force,Tenant communication and customer service assistance.,2019-05-31,GrandTech Building Solutions,100979
4348,ITT20190464,ITT,National Commission for Space Exploration,Energy-efficient systems and consumption monitoring.,2019-05-31,AlphaPro Facility Solutions,102282
4349,ITT20190465,ITT,National Commission for Space Exploration,Energy-efficient lighting installation and maintenance.,2019-05-31,SecurePrime Management,254846
4350,ITT20190466,ITT,Bureau of National Security and Intelligence,Energy-efficient systems and consumption monitoring.,2019-05-31,SilverLine Facility Experts,274905
4351,ITT20190467,ITT,National Institute of Scientific Advancement,Fire safety system installation and maintenance.,2019-05-31,StarStone Facility Services,332929
4352,ITT20190468,ITT,Institute for Social Justice and Equality,Renovation and remodeling project management.,2019-05-31,EliteCare Facility Support,345536
4353,ITT20190469,ITT,Office of International Relations and Diplomatic Affairs,Energy-efficient lighting installation and maintenance.,2019-05-31,GreenLine Building Experts,441497
4354,ITT20190470,ITT,Commission for Ethical Governance,Space planning and utilization optimization strategies.,2019-05-31,SilverReach Facility Services,458239
4355,ITT20190471,ITT,Agency for Cultural Preservation and Heritage,Expert landscaping and groundskeeping solutions.,2019-05-31,CleanReach Facility Experts,565190
4356,ITT20190472,ITT,Institute for Social Justice and Equality,Pest control services for a pest-free environment.,2019-06-01,TruePro Building Experts,196027
4357,ITT20190473,ITT,Bureau of National Security and Intelligence,Renovation and remodeling project management.,2019-06-01,InfiniteSpace Building Solutions,284352
4358,ITT20190474,ITT,Office of International Relations and Diplomatic Affairs,Furniture and equipment maintenance and inventory tracking.,2019-06-02,AlphaPro Facility Solutions,122734
4359,ITT20190475,ITT,Institute for Social Justice and Equality,Space planning and utilization optimization strategies.,2019-06-02,GreenWave Facilities Management,172336
4360,ITT20190476,ITT,Bureau of Urban Development and Infrastructure,Renovation and remodeling project management.,2019-06-02,UrbanEagle Maintenance,172931
4361,ITT20190477,ITT,Office of International Relations and Diplomatic Affairs,Pest control services for a pest-free environment.,2019-06-02,Reliable Facility Services,194764
4362,ITT20190478,ITT,Department of Energy Conservation and Sustainability,Space planning and utilization optimization strategies.,2019-06-02,AlphaWave Property Solutions,217088
4363,ITT20190479,ITT,Department of Energy Conservation and Sustainability,Building automation and smart technology integration.,2019-06-02,CleanSweep Property Management,319691
4364,ITT20190480,ITT,Bureau of National Security and Intelligence,Indoor air quality monitoring and improvement measures.,2019-06-02,InfiniteGuard Building Care,361709
4365,ITT20190481,ITT,Commission for Ethical Governance,Expert landscaping and groundskeeping solutions.,2019-06-03,FreshStart Building Solutions,408251
4366,ITT20190482,ITT,Department of Energy Conservation and Sustainability,24/7 security and access control management.,2019-06-03,FreshTech Management,460725
4367,ITT20190483,ITT,Commission for Ethical Governance,Health and safety compliance management and training.,2019-06-04,GoldenHarbor Management,109269
4368,ITT20190484,ITT,Office of International Relations and Diplomatic Affairs,Building maintenance and repairs.,2019-06-04,FreshEdge Facility Support,171335
4369,ITT20190485,ITT,Department of Public Health and Disease Control,Energy-efficient systems and consumption monitoring.,2019-06-04,Xtreme Maintenance,238793
4370,ITT20190486,ITT,Office of Public Safety and Emergency Management,Waste management and recycling program implementation.,2019-06-04,HorizonStone Facility Services,328327
4371,ITT20190487,ITT,Department of Public Health and Disease Control,Indoor air quality monitoring and improvement measures.,2019-06-04,GrandReach Facility Care,347847
4372,ITT20190488,ITT,Institute for Social Justice and Equality,Building maintenance and repairs.,2019-06-05,InfiniteGuard Building Care,284496
4373,ITT20190489,ITT,Office of Public Safety and Emergency Management,Emergency response and disaster recovery planning.,2019-06-05,CleanReach Facility Experts,389605
4374,ITT20190490,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,2019-06-05,GoldenHarbor Management,390567
4375,ITT20190491,ITT,Ministry of Strategic Economic Planning,Energy-efficient systems and consumption monitoring.,2019-06-05,InfiniteGuard Building Care,470759
4376,ITT20190492,ITT,Federal Agency for Environmental Protection,Energy-efficient systems and consumption monitoring.,2019-06-06,TrueNorth Facility Solutions,151047
4377,ITT20190493,ITT,National Commission for Space Exploration,Pest control services for a pest-free environment.,2019-06-07,GreenLine Building Experts,201530
4378,ITT20190494,ITT,Office of International Relations and Diplomatic Affairs,Furniture and equipment maintenance and inventory tracking.,2019-06-08,GoldenHarbor Management,205081
4379,ITT20190495,ITT,Office of Public Safety and Emergency Management,Renovation and remodeling project management.,2019-06-08,GoldenTech Maintenance,556962
4380,ITT20190496,ITT,Agency for Cultural Preservation and Heritage,HVAC system maintenance and climate control optimization.,2019-06-09,InfiniteCare Property Services,168802
4381,ITT20190497,ITT,Federal Agency for Environmental Protection,Energy-efficient lighting installation and maintenance.,2019-06-10,StarStone Facility Services,235380
4382,ITT20190498,ITT,Department of Advanced Technological Research,Energy-efficient systems and consumption monitoring.,2019-06-11,VisionQuest Facility Care,341558
4383,ITT20190499,ITT,Commission for Ethical Governance,Renovation and remodeling project management.,2019-06-11,GoldenHarbor Management,405028
4384,ITT20190500,ITT,Commission for Ethical Governance,Pest control services for a pest-free environment.,2019-06-12,InfiniteCare Property Services,142356
4385,ITT20190501,ITT,Department of Energy Conservation and Sustainability,Emergency response and disaster recovery planning.,2019-06-12,InfiniteSpace Building Solutions,318941
4386,ITT20190502,ITT,National Institute of Scientific Advancement,Space planning and utilization optimization strategies.,2019-06-12,SecurePrime Management,369550
4387,ITT20190503,ITT,Bureau of Urban Development and Infrastructure,Emergency response and disaster recovery planning.,2019-06-12,StarStone Facility Services,398981
4388,ITT20190504,ITT,Institute for Social Justice and Equality,Energy-efficient lighting installation and maintenance.,2019-06-13,InfinitePro Facility Care,348523
4389,ITT20190505,ITT,Department of Advanced Technological Research,Waste management and recycling program implementation.,2019-06-14,InfiniteGuard Building Care,343543
4390,ITT20190506,ITT,National Cybersecurity Task Force,Pest control services for a pest-free environment.,2019-06-14,GoldenReach Property Management,368232
4391,ITT20190507,ITT,Department of Energy Conservation and Sustainability,Energy-efficient lighting installation and maintenance.,2019-06-15,ApexGuard Facility Services,180484
4392,ITT20190508,ITT,Institute for Social Justice and Equality,Emergency response and disaster recovery planning.,2019-06-15,TrueView Management,200360
4393,ITT20190509,ITT,Commission for Ethical Governance,Fire safety system installation and maintenance.,2019-06-15,AlphaPro Facility Solutions,260685
4394,ITT20190510,ITT,Commission for Ethical Governance,Building automation and smart technology integration.,2019-06-15,GrandReach Facility Care,261823
4395,ITT20190511,ITT,Institute for Social Justice and Equality,Expert landscaping and groundskeeping solutions.,2019-06-15,SkyHigh Property Management,349768
4396,ITT20190512,ITT,Department of Energy Conservation and Sustainability,Waste management and recycling program implementation.,2019-06-15,UrbanEagle Maintenance,559765
4397,ITT20190513,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,2019-06-16,StarTech Facility Solutions,129232
4398,ITT20190514,ITT,Bureau of Urban Development and Infrastructure,Building automation and smart technology integration.,2019-06-16,AlphaWave Property Solutions,212941
4399,ITT20190515,ITT,Ministry of Strategic Economic Planning,Energy-efficient lighting installation and maintenance.,2019-06-16,SwiftSail Building Solutions,297774
4400,ITT20190516,ITT,Agency for Cultural Preservation and Heritage,Parking management and traffic control solutions.,2019-06-16,GrandPro Facilities Support,514242
4401,ITT20190517,ITT,Office of Public Safety and Emergency Management,Energy-efficient lighting installation and maintenance.,2019-06-17,SafeEdge Property Care,112302
4402,ITT20190518,ITT,Agency for Cultural Preservation and Heritage,Pest control services for a pest-free environment.,2019-06-17,FreshWave Property Support,183316
4403,ITT20190519,ITT,Office of International Relations and Diplomatic Affairs,Building automation and smart technology integration.,2019-06-17,GrandEdge Property Solutions,481356
4404,ITT20190520,ITT,Office of Public Safety and Emergency Management,Emergency response and disaster recovery planning.,2019-06-18,GrandEdge Property Solutions,186961
4405,ITT20190521,ITT,Office of International Relations and Diplomatic Affairs,Parking management and traffic control solutions.,2019-06-18,EliteEdge Facilities Group,371582
4406,ITT20190522,ITT,Department of Advanced Technological Research,Fire safety system installation and maintenance.,2019-06-18,HorizonHarbor Property Services,375422
4407,ITT20190523,ITT,Office of Public Safety and Emergency Management,Energy-efficient lighting installation and maintenance.,2019-06-18,UrbanGuard Facilities,382718
